n,algorithm,duration_s,correct
8,smm,0.000005,1
8,smmr,0.000007,1
8,strassen,0.000048,1
16,smm,0.000021,1
16,smmr,0.000044,1
16,strassen,0.000241,1
24,smm,0.000091,1
24,smmr,0.000343,1
24,strassen,0.001512,1
32,smm,0.000140,1
32,smmr,0.000281,1
32,strassen,0.001362,1
40,smm,0.000300,1
40,smmr,0.002256,1
40,strassen,0.009122,1
48,smm,0.000392,1
48,smmr,0.001942,1
48,strassen,0.007742,1
56,smm,0.000534,1
56,smmr,0.001677,1
56,strassen,0.006821,1
64,smm,0.000700,1
64,smmr,0.001476,1
64,strassen,0.006197,1
72,smm,0.000894,1
72,smmr,0.010211,1
72,strassen,0.031244,1
80,smm,0.000891,1
80,smmr,0.007509,1
80,strassen,0.027030,1
88,smm,0.001099,1
88,smmr,0.007226,1
88,strassen,0.026808,1
96,smm,0.001425,1
96,smmr,0.007210,1
96,strassen,0.026817,1
104,smm,0.001806,1
104,smmr,0.007212,1
104,strassen,0.026576,1
112,smm,0.002248,1
112,smmr,0.007199,1
112,strassen,0.026800,1
120,smm,0.002760,1
120,smmr,0.007203,1
120,strassen,0.026606,1
128,smm,0.003368,1
128,smmr,0.007213,1
128,strassen,0.026810,1
136,smm,0.004007,1
136,smmr,0.057859,1
136,strassen,0.187378,1
144,smm,0.004755,1
144,smmr,0.057639,1
144,strassen,0.187363,1
152,smm,0.005583,1
152,smmr,0.057634,1
152,strassen,0.185754,1
160,smm,0.006506,1
160,smmr,0.057680,1
160,strassen,0.187590,1
168,smm,0.007534,1
168,smmr,0.057622,1
168,strassen,0.187693,1
176,smm,0.008647,1
176,smmr,0.057711,1
176,strassen,0.185754,1
184,smm,0.009872,1
184,smmr,0.057659,1
184,strassen,0.187342,1
192,smm,0.011208,1
192,smmr,0.057801,1
192,strassen,0.185571,1
200,smm,0.012661,1
200,smmr,0.057623,1
200,strassen,0.187364,1
208,smm,0.014234,1
208,smmr,0.057856,1
208,strassen,0.185589,1
216,smm,0.015932,1
216,smmr,0.057678,1
216,strassen,0.187412,1
224,smm,0.017775,1
224,smmr,0.057695,1
224,strassen,0.185782,1
232,smm,0.019744,1
232,smmr,0.057684,1
232,strassen,0.187369,1
240,smm,0.021836,1
240,smmr,0.057715,1
240,strassen,0.187406,1
248,smm,0.024082,1
248,smmr,0.057691,1
248,strassen,0.185734,1
256,smm,0.026489,1
256,smmr,0.057587,1
256,strassen,0.187416,1
264,smm,0.029199,1
264,smmr,0.461891,1
264,strassen,1.299338,1
272,smm,0.031750,1
272,smmr,0.461658,1
272,strassen,1.305754,1
280,smm,0.034660,1
280,smmr,0.461748,1
280,strassen,1.305929,1
288,smm,0.037838,1
288,smmr,0.461721,1
288,strassen,1.312753,1
296,smm,0.041083,1
296,smmr,0.462067,1
296,strassen,1.313300,1
304,smm,0.044571,1
304,smmr,0.461801,1
304,strassen,1.312105,1
312,smm,0.048075,1
312,smmr,0.460767,1
312,strassen,1.304773,1
320,smm,0.051718,1
320,smmr,0.461323,1
320,strassen,1.311892,1
328,smm,0.055650,1
328,smmr,0.461528,1
328,strassen,1.311945,1
336,smm,0.059796,1
336,smmr,0.461351,1
336,strassen,1.312753,1
344,smm,0.064281,1
344,smmr,0.461496,1
344,strassen,1.296679,1
352,smm,0.068933,1
352,smmr,0.461446,1
352,strassen,1.305894,1
